ICD_1,ICD_2,COUNT
428,585,12
427.31,38.11,12
584.9,276.5,12
482.41,427.31,12
584.9,789.5,12
244.9,414.01,12
995.92,584.5,12
410.71,414.01,12
599,414.01,12
995.92,486,12
428,276,12
507,250,12
250,38.9,12
414.01,496,12
427.31,482.41,12
511.9,428,12
250,244.9,12
518.81,285.9,12
285.9,401.9,12
995.92,250,12
507,995.92,12
427.31,785.51,12
38.9,285.9,12
518.5,401.9,12
414.01,584.5,12
424,427.31,12
599,496,12
707,428,12
584.9,272,12
996.81,428,12
427.31,427.1,12
428.3,428,12
507,414.01,12
401.9,V45.82,12
403.91,250,12
427.31,V44.0,12
38.9,995.92,12
250,486,12
530.81,401.9,12
V45.81,414.01,12
38.9,599,11
403.91,996.62,11
285.9,518.81,11
244.9,995.92,11
414.01,785.52,11
486,403.91,11
427.31,272,11
401.9,285.1,11
244.9,518.81,11
530.81,427.31,11
780.39,518.81,11
276,427.31,11
276.1,427.31,11
414.01,507,11
410.71,401.9,11
272,401.9,11
428,398.91,11
427.31,585,11
401.9,789.5,11
250,789.5,11
V45.82,414.01,11
995.92,276.2,11
427.31,V45.81,11
403.91,410.71,11
428,V58.61,11
428,V58.67,11
286.9,428,11
263.9,427.31,11
584.5,518.81,11
518.81,518.84,11
276.2,276.5,11
599,244.9,11
424,401.9,11
V58.61,428,11
272,995.92,11
287.4,428,11
507,403.91,11
427.31,996.62,11
250.4,427.31,11
486,785.52,11
427.31,427.5,11
584.9,785.52,11
584.9,V45.81,11
403.91,276.2,11
995.92,414.01,11
425.4,428,11
507,785.52,11
584.5,276.2,11
584.9,424,11
38.9,414.01,11
486,285.9,11
276,599,11
398.91,427.31,11
585.9,584.9,11
403.91,244.9,11
V58.67,428,11
570,428,11
427.31,416.8,11
427.31,287.5,11
401.9,428.3,11
530.81,518.81,11
276.5,38.9,11
403.91,486,11
276,584.9,10
496,995.92,10
427.31,410.71,10
250,276.1,10
38.9,403.91,10
401.9,530.81,10
401.9,287.5,10
276.5,995.92,10
518.81,276.1,10
496,250,10
250,V58.67,10
599,276.2,10
599,276.1,10
276,518.81,10
785.52,414.01,10
276,250,10
427.31,482.1,10
274.9,427.31,10
285.21,403.91,10
599,38.9,10
427.31,585.9,10
403.91,585,10
428,397,10
428,585.6,10
427.31,280,10
599,285.9,10
427.31,276.7,10
427.31,276.5,10
263.9,428,10
401.9,280,10
250,427.5,10
427.5,584.9,10
996.62,401.9,10
998.59,401.9,10
V45.01,428,10
427.31,285.29,10
428,996.81,10
584.9,518.5,10
496,599,10
584.5,250,10
428,38.11,10
401.9,276,10
414.01,272,10
428,570,10
511.9,427.31,10
453.8,428,10
584.9,285.1,10
410.71,584.9,10
403.91,272,10
997.1,428,10
401.9,511.9,10
584.9,425.4,10
276.2,414.01,10
585.9,401.9,10
571.5,584.9,10
8.45,276.2,10
272,403.91,10
785.52,518.81,10
584.9,V45.01,10
997.1,427.31,10
584.9,410.71,10
8.45,518.81,10
414.01,424,10
428,707,10
38.9,486,10
996.62,427.31,10
285.9,584.9,10
414.01,403.91,10
276.2,250,10
272.4,428,10
428,276.7,10
285.1,584.9,10
285.21,428,10
250,285.1,10
250,285.9,10
518.5,427.31,10
518.81,458.9,10
518.5,428,10
403.91,585.6,10
507,38.9,10
414.01,244.9,10
585.6,403.91,10
V45.82,427.31,10
428,518.5,10
578.9,427.31,9
496,507,9
428,790.7,9
276.2,244.9,9
427.31,578.9,9
38,428,9
285.1,401.9,9
428,414.8,9
578.9,428,9
38.11,428,9
401.9,707.03,9
518.81,996.62,9
401.9,585.9,9
427.5,414.01,9
998.11,428,9
428,998.59,9
403.91,285.21,9
276.2,995.92,9
518.81,250.4,9
401.9,571.5,9
403.91,424,9
276.2,38.9,9
584.9,458.9,9
250,507,9
250,403.91,9
412,401.9,9
427.31,458.9,9
428,424.1,9
285.29,428,9
427.31,276.1,9
584.9,287.5,9
780.39,401.9,9
428,285.29,9
285.9,38.9,9
518.81,285.1,9
276,401.9,9
507,285.9,9
401.9,8.45,9
38.9,276.5,9
38.9,276.2,9
427.31,V45.82,9
410.71,518.81,9
424.1,428,9
287.5,518.81,9
414.01,486,9
996.62,38.9,9
584.9,511.9,9
584.9,427.1,9
995.92,496,9
507,276.2,9
410.71,250,9
996.62,518.81,9
584.5,584.9,9
272,584.9,9
403.91,V58.67,9
427.31,707.03,9
518.81,244.9,9
585.6,428,9
486,584.5,9
599,518.84,9
584.9,276,9
428,707.03,9
518.81,780.39,9
8.45,427.31,9
584.9,V45.82,9
272,518.81,9
427.1,428,9
244.9,584.9,9
518.81,428.3,9
496,584.5,9
518.81,V44.0,9
412,518.81,9
428,276.3,9
403.91,425.4,9
584.9,507,9
584.5,244.9,9
410.71,272,9
518.81,585,9
518.81,410.71,9
401.9,276.1,9
255.4,428,9
584.9,491.21,9
276.7,403.91,9
287.5,401.9,9
486,491.21,9
780.39,427.31,9
427.31,397,9
414,427.31,8
995.91,427.31,8
403.91,401.9,8
255.4,518.81,8
V09.0,428,8
427.31,V09.0,8
995.92,244.9,8
491.21,995.92,8
584.9,518.84,8
584.9,276.1,8
789.5,571.5,8
482.1,584.9,8
458.9,518.81,8
428,780.57,8
280,401.9,8
518.81,276.5,8
38.9,997.1,8
496,511.9,8
584.9,274.9,8
285.21,427.31,8
599,403.91,8
428,V09.0,8
486,276.2,8
486,276.5,8
599,996.62,8
427.31,790.7,8
486,518.84,8
996.62,785.52,8
491.21,38.9,8
412,584.9,8
276.5,486,8
996.62,584.9,8
403.91,507,8
285.29,427.31,8
707.03,401.9,8
428,693,8
486,272,8
401.9,996.62,8
427.1,427.31,8
397,428,8
250,518.84,8
518,401.9,8
995.91,428,8
414.01,276.2,8
414.01,599.7,8
276.52,428,8
427.89,427.31,8
496,403.91,8
486,530.81,8
996.81,427.31,8
428,285.21,8
401.9,491.21,8
507,584.5,8
518.81,785.52,8
571.5,428,8
428,443.9,8
403.91,285.1,8
244.9,486,8
427.31,491.21,8
496,276.2,8
272,276.2,8
571.5,572.3,8
285.9,403.91,8
599,458.9,8
272,599,8
401.9,998.11,8
401.9,780.57,8
414.01,599,8
250.4,518.81,8
401.9,403.91,8
276.5,250,8
584.9,280,8
401.9,V45.81,8
428,112.2,8
428,V45.02,8
584.9,571.5,8
412,995.92,8
401.9,V45.01,8
996.62,250,8
276.2,518.5,8
38.9,244.9,8
285.1,599,8
785.52,599,8
707.03,428,8
286.9,518.81,8
995.92,425.4,8
584.9,427.5,8
276.5,599,8
250,412,8
570,427.31,8
V43.3,427.31,8
V45.82,401.9,8
530.81,414.01,8
789.5,584.9,8
414.01,285.9,8
272,250,8
428.3,518.81,8
496,244.9,8
276.2,496,8
584.9,785.51,8
428,998.12,8
584.5,403.91,8
427.31,518,8
403.91,511.9,8
428,518,8
V10.11,427.31,8
518.81,276,8
518.81,272,8
410.71,38.9,8
403.91,427.1,8
403.91,276.5,8
428,482.1,8
585,428,8
496,785.52,8
428,416,8
428,272.4,8
424.1,427.31,8
250,571.5,8
518.82,428,8
414.01,V45.81,8
286.9,427.31,8
570,518.81,8
427.31,453.8,8
287.5,571.5,8
428.3,427.31,8
428,274.9,8
287.5,995.92,8
427.31,780.57,8
427.31,272.4,8
482.1,427.31,8
428.3,584.9,8
585.9,486,8
518.81,707,8
780.39,584.9,8
250.41,996.81,8
276.2,599,8
584.9,693,8
427.31,V58.67,8
584.9,8.45,8
276.2,403.91,7
453.8,427.31,7
557,427.31,7
244.9,496,7
276.51,428,7
599,428.3,7
571.5,995.92,7
427.5,403.91,7
8.45,584.9,7
205,518.81,7
425.4,276.2,7
38.9,496,7
280,427.31,7
458.9,401.9,7
733,427.31,7
V43.3,428,7
518.81,518.5,7
599,424.1,7
584.5,995.92,7
458.9,518.84,7
518.5,276.5,7
276.5,414.01,7
276.5,403.91,7
518.81,276.7,7
996.81,995.92,7
244.9,38.9,7
599.7,428,7
507,486,7
486,507,7
491.21,584.9,7
995.92,785.52,7
486,276.1,7
584.9,570,7
250,424,7
578,401.9,7
401.9,482.1,7
599,507,7
790.7,995.92,7
599,276.5,7
785.52,403.91,7
998.12,428,7
285.29,250,7
250.4,250,7
274.9,403.91,7
780.57,401.9,7
38.11,427.31,7
507,530.81,7
401.9,V10.11,7
427.31,693,7
414.01,276.1,7
790.7,427.31,7
996.81,518.81,7
285.9,995.92,7
584.5,414.01,7
707,427.31,7
530.81,486,7
412,403.91,7
585.6,427.31,7
493.2,428,7
V09.0,427.31,7
571.5,70.54,7
496,410.71,7
518.81,785.51,7
427.31,285.21,7
401.9,424,7
518.81,567.2,7
285.1,38.9,7
286.9,403.91,7
511.9,995.92,7
V45.01,401.9,7
428,428.22,7
507,285.1,7
401.9,998.12,7
584.9,518,7
998.2,428,7
428,458.29,7
428,287.4,7
414.01,511.9,7
482.1,428,7
995.92,276.7,7
995.92,276.5,7
507,599,7
38.9,584.5,7
410.71,599,7
584.9,412,7
255.4,584.9,7
428,577,7
428,593.9,7
276.1,401.9,7
272.4,401.9,7
414.8,427.31,7
428,V15.81,7
995.92,70.54,7
428,578.9,7
V09.0,995.92,7
996.81,414.01,7
496,38.9,7
427.31,733,7
427.1,401.9,7
410.71,403.91,7
584.9,416.8,7
996.62,599,7
424,414.01,7
V10.05,401.9,7
780.39,599,7
403.91,V58.61,7
458.9,599,7
250,530.81,7
518.81,427.1,7
403.91,496,7
398.91,428,7
V45.02,428,7
250,V45.81,7
414.01,285.1,7
427.1,518.81,7
518.84,507,7
995.92,789.5,7
995.92,996.62,7
V45.82,518.81,7
280,584.9,7
V55.0,427.31,7
584.9,276.51,7
250,785.52,7
285.1,276.5,7
584.9,403.9,7
571.5,789.5,7
780.39,428,7
280,995.92,7
403.91,584.5,7
244.9,403.91,7
410.71,995.92,7
8.45,486,7
412,496,7
428,599.7,7
584.9,244.9,7
425.4,427.31,7
427.31,V66.7,7
496,V45.82,7
401.9,458.9,7
995.92,511.9,7
244.9,507,7
518.82,427.31,7
496,427.1,7
584.9,530.81,7
584.9,428.3,7
453.8,518.81,7
272,410.71,7
785.52,995.92,7
584.9,998.59,7
285.1,250,7
V10.05,428,7
785.52,276.2,7
427.89,401.9,7
276.7,584.9,7
427.5,496,7
428.3,401.9,7
401.9,424.1,7
507,244.9,7
428,410.41,7
530.81,584.9,7
599,571.5,7
428,255.4,7
403.91,250.41,7
427.31,414.8,7
599,272,7
V58.61,995.92,7
496,424,7
276.2,486,7
414.01,998.59,7
515,428,7
458.9,584.9,7
412,38.9,7
995.92,285.9,7
707.03,518.81,7
272,38.9,7
585.9,518.81,7
403.91,8.45,7
287.5,599,7
428,567.2,7
274.9,428,7
518.5,518.81,7
427.31,424.1,7
427.31,570,7
414.8,428,7
998.11,427.31,7
599,427.5,7
401.9,V58.67,7
401.9,482.41,7
V10.11,428,7
38.11,599,7
427.31,998.59,7
427.31,560.1,6
276,403.91,6
250,428.3,6
276.52,518.81,6
412,785.52,6
482.1,518.84,6
570,401.9,6
276.2,427.5,6
496,416.8,6
518.82,276.5,6
570,599,6
424.1,518.81,6
70.54,995.92,6
557,428,6
414.01,458.9,6
486,70.54,6
276.7,285.1,6
201.9,428,6
428,583.81,6
518.82,401.9,6
428,250.6,6
250,272,6
995.92,693,6
998.59,428,6
584.9,276.3,6
584.9,276.7,6
401.9,38.11,6
416,428,6
276.7,599,6
410.71,785.52,6
276.52,584.9,6
482.41,250,6
38.9,785.52,6
276,276.2,6
276,276.5,6
486,416.8,6
995.92,997.1,6
998.59,427.31,6
518.81,276.3,6
482.1,599,6
584.9,V44.0,6
996.72,428,6
276.51,584.9,6
V44.0,401.9,6
38.9,997.4,6
410.71,507,6
491.21,518.84,6
293,427.31,6
412,276.2,6
38.9,410.71,6
414.01,785.51,6
428,305.1,6
205,486,6
518.81,996.82,6
996.62,244.9,6
V53.32,428,6
38.11,403.91,6
518.5,584.9,6
244.9,785.52,6
571.5,250,6
567.2,789.5,6
530.81,272,6
428,286.9,6
V45.81,V45.82,6
285.9,414.01,6
276.52,250,6
414.01,530.81,6
518.81,518,6
286.7,70.54,6
V10.46,427.31,6
403.91,785.51,6
V10.52,401.9,6
412,V45.82,6
276.7,401.9,6
276.2,458.9,6
250,410.71,6
428,453.8,6
785.59,427.31,6
518.84,496,6
518.81,416.8,6
427.31,996.81,6
584.9,593.9,6
287.4,518.81,6
V45.81,995.92,6
584.9,578.9,6
V66.7,427.31,6
272,785.52,6
599,38.11,6
428,428.2,6
491.21,496,6
996.72,414.01,6
427.31,112.2,6
427.1,250,6
530.81,38.9,6
412,584.5,6
427.31,512.1,6
996.81,250.41,6
998.11,401.9,6
496,412,6
486,789.5,6
995.91,584.9,6
428,482,6
427.31,V10.11,6
401.9,453.8,6
995.92,996.81,6
272.4,599,6
276.1,250,6
428,280,6
285.9,599,6
511.9,518.81,6
997.1,403.91,6
V44.0,482.41,6
493.2,427.31,6
414.01,585.9,6
428,786.3,6
272,496,6
998.59,414.01,6
496,518,6
V09.0,401.9,6
263.9,511.9,6
287.5,276.5,6
428,311,6
410.91,428,6
428,733,6
198.5,401.9,6
518.81,255.4,6
427.31,458.29,6
38.9,507,6
412,511.9,6
401.9,V44.0,6
416.8,428,6
599,780.39,6
V44.0,276,6
287.4,496,6
38.11,995.92,6
276.7,518.81,6
428,V10.46,6
785.52,250,6
458.9,276.1,6
518.81,571.5,6
428,362.01,6
486,250.4,6
789.5,427.31,6
584.9,567.2,6
403.9,584.9,6
507,272,6
995.92,250.4,6
38.49,428,6
427.31,V10.46,6
403.91,567.2,6
431,428,6
410.71,998.59,6
599.7,427.31,6
286.7,571.5,6
250,482.41,6
511.9,250,6
274.9,584.9,6
584.5,285.1,6
V10.3,428,6
507,276.5,6
244.9,427.5,6
428,V10.11,6
250,585.9,6
250,567.2,6
272,584.5,6
396.2,427.31,6
599,V10.3,6
8.45,38.9,6
707.03,427.31,6
530.81,403.91,6
780.39,38.9,6
518.82,250,6
276.2,584.5,6
486,518.5,6
518.81,V58.67,6
401.9,693,6
428,263.9,6
428.22,427.31,6
585.9,250,6
780.57,518.81,6
427.31,707.05,6
276.2,585,6
427.5,244.9,6
518.81,998.12,6
486,410.71,6
250,287.5,6
427.31,38.8,6
244.9,996.62,6
250,458.29,6
518.84,285.9,6
427.31,780.39,6
998.11,403.91,6
785.52,38.9,6
403.91,274.9,6
428,276.52,6
428,276.51,6
428,998.11,6
518.81,780.57,6
790.7,486,6
790.7,584.9,6
401.9,311,6
272,511.9,6
518,518.81,6
287.5,414.01,6
272.4,427.31,6
250.41,403.91,6
496,491.21,6
V45.1,403.91,6
995.92,V58.67,6
441.4,427.31,6
276.5,276,6
348.1,428,6
428,997.1,6
570,584.5,6
272,486,6
482.41,518.81,6
693,428,6
428,V66.7,6
599,785.52,6
584.9,997.1,6
458.9,38.9,6
584.9,585,6
272,585.6,6
584.9,482.41,6
486,518,6
571.5,518.81,6
V45.81,250,6
790.7,401.9,6
486,V45.82,6
38.9,518.5,6
995.92,V45.01,6
276.2,285.1,6
428,428.33,6
286.9,486,6
585.9,414.01,6
427.31,443.9,6
427.31,274.9,6
518.5,414.01,6
276.1,518.81,6
570,70.54,6
507,8.45,6
276,496,6
995.92,287.5,6
584.5,276.5,6
584.5,486,6
427.31,482.83,6
518.84,401.9,6
428,518.83,6
789.5,428,6
280,428,6
250,996.62,6
428,780.39,6
V58.67,250,6
425.4,584.9,6
995.92,518.5,6
785.52,584.5,6
995.92,424,6
401.9,V09.0,6
496,276,6
427.31,583.81,6
518.84,38.9,6
285.29,584.9,6
70.54,584.9,6
530.81,995.92,6
790.92,427.31,6
V10.11,401.9,6
427.31,997.1,6
424,599,6
284.8,518.81,6
995.92,507,6
427.31,707,6
427.5,518.81,6
276.52,427.31,6
427.31,599.7,6
276.5,276.2,6
276.5,511.9,6
401.9,284.8,6
530.81,250,6
V44.0,518.84,6
790.7,428,6
518.81,493.2,6
785.52,996.62,6
401.9,518,6
496,585.9,6
428,427.89,6
428,427.81,6
428,571.5,6
584.9,458.29,6
427.5,276.5,6
995.92,785.51,5
571.5,599,5
584.9,263.9,5
416.8,584.9,5
427.32,401.9,5
414.01,518.84,5
250,276.7,5
427.31,428.22,5
272,427.5,5
V58.61,584.9,5
414.01,570,5
V58.67,414.01,5
707,403.91,5
428,707.14,5
787.91,401.9,5
276.7,789.5,5
599,998.2,5
427.31,493.2,5
38.9,780.39,5
518.89,401.9,5
496,287.4,5
244.9,272,5
995.92,482.41,5
785.51,V45.81,5
427.31,482,5
38.9,V58.65,5
V45.81,272,5
250.4,486,5
285.9,486,5
294.1,427.31,5
785.59,428,5
V45.82,496,5
585.6,414.01,5
38.9,518,5
397,427.31,5
403.91,V45.82,5
453.8,584.9,5
427.31,518.82,5
427.31,518.83,5
427.31,518.89,5
278,401.9,5
401.9,255.4,5
287.4,401.9,5
8.45,414.01,5
428,250.5,5
584.9,V42.0,5
250,276,5
557,403.91,5
453.8,401.9,5
V44.1,428,5
397,401.9,5
518.81,425.4,5
518.5,250,5
518.84,V44.0,5
V45.82,599,5
401.9,790.7,5
286.9,995.92,5
584.9,272.4,5
507,428.3,5
486,V58.67,5
486,V58.65,5
491.21,285.9,5
244.9,280,5
453.8,599,5
403.91,578.9,5
486,707.03,5
518.89,584.9,5
785.52,507,5
428.3,250,5
428,411.1,5
780.39,414.01,5
276.1,518,5
996.82,70.54,5
585.9,995.92,5
276.1,496,5
482.41,401.9,5
V45.81,414.8,5
205,996.85,5
401.9,V15.3,5
V09.0,38.11,5
8.45,995.92,5
V58.67,995.92,5
414.01,274.9,5
263.9,995.92,5
401.9,197,5
496,530.81,5
284.8,428,5
584.9,577,5
250.41,428,5
401.9,348.1,5
V42.2,428,5
996.81,V42.0,5
785.51,401.9,5
401.9,780.39,5
518.84,482.1,5
995.91,995.92,5
785.52,285.1,5
486,V45.81,5
599,518.5,5
428,519.1,5
486,424,5
428,274,5
285.29,496,5
996.81,996.86,5
995.92,518.84,5
285.21,518.81,5
272,8.45,5
38.11,518.81,5
276,518.84,5
424.1,401.9,5
486,274.9,5
496,285.9,5
276.5,398.91,5
518.81,V66.7,5
560.1,401.9,5
570,403.91,5
427.1,414.01,5
780.39,507,5
284.8,996.82,5
571.5,401.9,5
790.7,414.01,5
995.92,482.1,5
V45.81,486,5
276.5,518.84,5
285.9,250,5
428,434.91,5
38.9,482.41,5
276.51,427.31,5
486,276,5
518.84,515,5
401.9,518.82,5
272,285.1,5
V09.0,250,5
348.1,427.31,5
38.9,571.5,5
414.01,276.7,5
427.31,276.51,5
780.57,428,5
286.6,428,5
599,530.81,5
401.9,250.02,5
401.9,428.31,5
434.91,401.9,5
416,427.31,5
38.9,287.5,5
780.39,995.92,5
276.52,401.9,5
571.5,38.9,5
518.81,287.5,5
284.8,287.5,5
570,996.82,5
427.31,682.3,5
427.31,276.3,5
584.9,287.4,5
272,250.41,5
427.31,427.81,5
427.31,427.89,5
995.92,280,5
997.4,427.31,5
401.9,458.29,5
70.44,70.54,5
996.62,996.81,5
995.92,276.51,5
486,458.9,5
780.57,584.9,5
250,518.5,5
403.91,583.81,5
38.9,427.5,5
780.39,403.91,5
599,584.5,5
428.22,428,5
511.9,276.2,5
410.71,274.9,5
427.31,530.81,5
250,427.1,5
785.52,285.9,5
995.92,996.82,5
274.9,507,5
42,518.81,5
V10.3,427.31,5
599,996.81,5
428,682.7,5
572.2,571.5,5
599,518,5
785.59,276.2,5
427.32,427.31,5
518.81,790.7,5
8.45,599,5
518.81,585.9,5
518,507,5
285.1,518.84,5
414.01,585.6,5
272.4,584.9,5
197,197.7,5
428,427.32,5
486,427.1,5
403.91,285.9,5
285.29,518.81,5
V10.05,518.81,5
403.91,286.9,5
995.92,38.11,5
518.84,584.5,5
38.9,425.4,5
482.1,995.92,5
294.8,427.31,5
785.59,995.92,5
287.5,276.2,5
496,276.5,5
486,693,5
508.1,428,5
511.9,496,5
V66.7,428,5
428,995.94,5
518.81,38.11,5
518.83,428,5
276,995.92,5
518,428,5
995.92,571.5,5
424,584.9,5
272,V45.82,5
427.31,V45.02,5
287.5,789.5,5
244.9,412,5
38,599,5
276.5,997.1,5
486,244.9,5
403.91,453.8,5
785.51,414.01,5
427.89,428,5
V42.2,401.9,5
428,201.9,5
V58.67,403.91,5
70.7,70.54,5
38.9,276.1,5
427.31,785.59,5
284.8,599,5
428,998.2,5
518.84,8.45,5
584.9,482.1,5
493.2,518.81,5
410.71,412,5
197.7,401.9,5
285.1,995.92,5
996.81,244.9,5
38.9,424,5
V58.61,403.91,5
584.9,411.1,5
412,410.71,5
42,276.2,5
E942.0,584.9,5
V44.0,584.9,5
V55.0,428,5
518.81,570,5
E942.0,428,5
511,428,5
V09.0,599,5
585.9,412,5
38.9,285.1,5
V45.01,995.92,5
424,403.91,5
428,E934.2,5
428,578.1,5
428,70.54,5
518.81,398.91,5
348.1,518.81,5
V45.82,272,5
585.9,496,5
E934.2,401.9,5
491.21,428.3,5
V45.81,584.9,5
518.81,70.54,5
427.31,593.9,5
599,458.29,5
38,427.31,5
428,280.9,5
428.3,496,5
584.5,507,5
414.01,410.41,5
8.45,403.91,5
996.81,585.6,5
41.11,428,5
995.92,707.03,5
584.9,V58.67,5
244.9,276.7,5
244.9,276.5,5
572.2,518.81,5
286.6,276.2,5
428.31,428,5
530.81,V58.67,5
V45.81,584.5,5
428,294.8,5
518.81,V58.65,5
518.81,V58.61,5
70.54,70.7,5
518.81,263.9,5
518.81,8.45,5
428,403.9,5
276.2,424,5
V58.67,427.31,5
274.9,8.45,5
518.81,427.5,5
285.29,995.92,5
482.1,401.9,5
995.91,403.91,5
518.81,789.5,5
287.5,403.91,5
789.5,486,5
V43.3,414.01,5
V10.52,197,5
427.31,38.3,5
286.9,584.9,5
428,284.8,5
482.41,414.01,5
38.9,530.81,5
401.9,V10.3,5
276.7,414.01,5
V45.81,496,5
V45.01,518.81,5
996.62,496,5
201.9,507,5
428,466,5
518,486,5
486,284.8,5
414.01,V58.67,5
416.8,486,5
785.51,276.5,5
255.4,995.92,5
584.9,V45.02,5
401.9,197.7,5
995.92,276,5
E933.1,518.81,5
584.9,276.52,5
584.9,707.03,5
577,401.9,5
294.8,428,5
518.81,482.41,5
572.3,571.5,5
427.31,515,5
276.3,428,5
250,998.11,5
434.91,428,5
401.9,V12.59,5
201.9,V44.0,5
244.9,424,5
401.9,416.8,5
E932.0,428,5
38.11,401.9,5
518.84,995.92,5
285.1,571.5,5
250,V44.0,5
427.31,790.92,5
401.9,997.4,5
284.8,584.5,5
250,511.9,5
424,995.92,5
250,38.11,5
414.01,427.5,5
414.01,427.1,5
